Year,GDPgrowth,CBAL,GFCF,Exports,M2GDP,LABgrowth,GDP,labor
1991,6.368150403,-7.762580647,20.2534713,11.49075129,32.82000953,0.044247442918526,3921476084.89072,18500000
1992,4.106406612,-5.330988052,20.70466177,15.95972613,32.0610892,0.090722511451073,3401211581.29176,18900000
1993,3.849850022,-6.079190386,22.57089514,18.43296411,34.84227183,0.136918144291643,3660041666.66667,19300000
1994,8.216002709,-8.652643525,22.40354892,18.99393793,36.24207114,0.141257307289477,4066775510.20408,19800000
1995,3.468451883,-8.097740688,25.19949812,24.97315898,38.03490362,-0.066577265615761,4401104417.67068,20200000
1996,5.328284175,-7.223149767,27.20508772,22.81757514,37.5773463,-0.062107236772463,4521580381.47139,20700000
1997,5.048612536,-7.890015129,25.34071505,26.32783507,43.19522673,-0.053102834846563,4918691916.53516,21200000
1998,3.016389482,-1.383662254,24.83936911,22.82205122,44.77937144,-0.032784272243511,4856255044.39064,21600000
1999,4.412573271,-1.563038657,20.48351636,22.84847209,47.92581083,-0.33587936953138,5033642384.10596,22100000
2000,6.199999988,-2.377936958,24.31486635,23.28400371,51.33647424,-0.266655262411612,5494252207.90502,22600000
2001,4.799892149,-2.741571051,22.34304622,22.56077372,51.52594886,-0.281013523613086,6007055042.17687,23200000
2002,0.120143175,3.556296775,20.24621117,17.73712952,50.83245038,-0.302348488884244,6050875806.66403,23500000
2003,3.945037767,2.847594088,21.40937893,15.69986449,52.29433504,-0.328445848169673,6330473096.54071,23800000
2004,4.682603245,1.374222036,24.53114957,16.68269526,54.23225475,-0.358234209750757,7273938314.71988,24100000
2005,3.479181046,1.883023964,26.4511581,14.58368679,54.19872632,-0.362968349128405,8130258041.46706,24400000
2006,3.364614788,1.659501804,26.85190281,13.44659096,57.13533566,-0.371234603434358,9043715355.8881,24800000
2007,3.411560276,0.054810111,28.68525075,12.85566488,60.86018588,-0.387708941093452,10325618017.379,25100000
2008,6.104639142,5.845485641,30.315647,12.77582026,75.40009579,-0.161980041754447,12545438605.3959,25400000
2009,4.53307872,0.166582496,31.67437709,12.41935419,80.66311212,-0.163418321962419,12854985464.0764,25800000
2010,4.81641465,-0.797465993,38.27120645,9.582536172,73.24216062,-0.155488590248741,16002656434.4746,26100000
2011,3.421828241,1.525912789,37.98723293,8.904030421,75.84152262,-0.05386074999464,21621710002.5111,26500000
2012,4.781192258,3.063180505,34.49707466,10.07389298,77.96140403,0.024598550669841,21703106502.4926,26900000
2013,4.128877676,6.016177974,37.32136017,10.68903388,85.46429246,0.050364584724948,22162208956.0893,27300000
2014,5.988984661,2.480767316,41.16780667,11.50507746,85.64055705,0.032779449946556,22731602969.6861,27600000
2015,3.322905439,11.42706356,39.0574709,11.62193974,98.28176163,0.35577710099432,24360795410.1597,28000000
2016,0.588678499,-0.792176596,33.88198646,9.468399399,109.0494774,0.289210738325494,24524098184.4236,28400000
2017,8.223499483,-4.100935059,46.81759426,8.988334926,102.8651328,0.222097804474332,28971589213.134,28800000
2018,6.700995459,-9.510926375,53.9017628,8.907177085,108.2002276,0.107894984693395,33111525182.7133,29100000
